City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
165,Vicuna,CL,2020-05-08 18:45:34,-30.03,-70.71,60.8,72,40,10.29,scattered clouds,0,0
166,Longyearbyen,SJ,2020-05-08 18:36:36,78.22,15.64,26.6,73,75,6.93,light snow,0,0
167,Kondinskoye,RU,2020-05-08 18:45:34,59.65,67.41,60.69,49,98,10.31,overcast clouds,0,0
168,Dongsheng,CN,2020-05-08 18:42:35,39.82,109.98,50.9,44,100,8.99,overcast clouds,0,0
169,Namibe,AO,2020-05-08 18:37:32,-15.2,12.15,82.81,47,0,5.93,clear sky,0,0
170,Alice Springs,AU,2020-05-08 18:43:19,-23.7,133.88,59.0,30,0,6.93,clear sky,0,0
171,Thompson,CA,2020-05-08 18:33:29,55.74,-97.86,30.2,68,75,9.17,broken clouds,0,0
172,Auki,SB,2020-05-08 18:37:18,-8.77,160.7,78.67,86,25,3.18,light rain,0,0
173,Marawi,PH,2020-05-08 18:37:51,8.0,124.29,80.01,83,46,3.0,scattered clouds,0,0
174,Bredasdorp,ZA,2020-05-08 18:36:34,-34.53,20.04,64.4,88,9,3.36,clear sky,0,0
175,Deputatskiy,RU,2020-05-08 18:38:46,69.3,139.9,23.9,99,100,3.65,overcast clouds,0,0
176,Tuatapere,NZ,2020-05-08 18:37:58,-46.13,167.68,48.45,85,37,6.71,scattered clouds,0,0
177,Nabire,ID,2020-05-08 18:36:37,-3.37,135.48,78.28,88,100,3.18,overcast clouds,0,0
178,Sangar,RU,2020-05-08 18:37:17,63.92,127.47,28.51,98,99,2.89,overcast clouds,0,0
179,Gat,IL,2020-05-08 18:36:05,31.61,34.76,72.0,63,0,10.92,clear sky,0,0
180,Huilong,CN,2020-05-08 18:45:38,31.81,121.66,73.0,95,96,12.17,overcast clouds,0,0
181,Lagos,NG,2020-05-08 18:45:38,6.58,3.75,86.0,79,40,4.7,scattered clouds,0,0
182,Vershino-Darasunskiy,RU,2020-05-08 18:45:39,52.35,115.52,37.85,76,100,3.6,overcast clouds,0,0
183,Najran,SA,2020-05-08 18:45:39,17.49,44.13,86.0,30,20,6.6,few clouds,0,0
184,College,US,2020-05-08 18:40:24,64.86,-147.8,59.0,33,90,11.41,overcast clouds,0,0
185,Nybro,SE,2020-05-08 18:41:55,56.74,15.91,57.2,54,0,12.75,clear sky,0,0
186,Obo,CF,2020-05-08 18:45:39,5.4,26.49,71.89,93,100,2.35,overcast clouds,0,0
187,Camana,PE,2020-05-08 18:45:40,-16.62,-72.71,71.4,68,63,7.05,broken clouds,0,0
188,Olafsvik,IS,2020-05-08 18:39:34,64.89,-23.71,38.64,68,0,9.86,clear sky,0,0
189,Tortoli,IT,2020-05-08 18:45:43,39.93,9.66,68.0,77,40,9.17,scattered clouds,0,0
190,Chokurdakh,RU,2020-05-08 18:37:24,70.63,147.92,18.45,97,49,8.01,scattered clouds,0,0
191,Maraa,BR,2020-05-08 18:45:43,-1.83,-65.37,75.51,98,100,2.13,moderate rain,0,0
192,Ilulissat,GL,2020-05-08 18:39:03,69.22,-51.1,33.85,83,65,7.2,broken clouds,0,0
193,Lavrentiya,RU,2020-05-08 18:37:31,65.58,-171.0,33.42,90,100,12.86,overcast clouds,0,0
194,Mana,GF,2020-05-08 18:38:47,5.66,-53.78,81.68,72,63,12.28,broken clouds,0,0
195,Karpogory,RU,2020-05-08 18:45:46,64.0,44.45,39.87,91,54,4.7,light rain,0,0
196,Duku,NG,2020-05-08 18:45:46,11.24,4.91,97.02,28,31,4.81,scattered clouds,0,0
197,Roma,US,2020-05-08 18:42:05,43.21,-75.46,46.4,45,90,12.75,overcast clouds,0,0
